start,today,deviceid,simserial,subscriberid,"Welcome to the OCA Bamako Project. In this project, you will collect data about identified features and their respective attributes across Bamako District.",Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Geopoint of health facility,_Geopoint of health facility_latitude,_Geopoint of health facility_longitude,_Geopoint of health facility_altitude,_Geopoint of health facility_precision,Nature of the facility,Type of the facility,What is the nature of the heath facility,What is the scope of services provided by health facility?,What is the ancillary services provided by health facility?,What is the type of the services provided by the facility?,Number of beds in the health facility,"Average number of patients per day, disaggregated (total)","Average number of patients per day, disaggregated (male)","Average number of patients per day, disaggregated (female)",Does this medical facility offer emergency services?,Does this facility offer dispensing prescription medication? (in pharmacy),Opening days and times,Opening days and times/Mo-Fri 07:30-13:30,Opening days and times/Mo-Sa 07:30-15:00,Opening days and times/Mo-Fri 08:00-17:00,Opening days and times/Mo-Fri 09:00-17:00,Opening days and times/Mo-Su 07:00-20:00,Opening days and times/Mo-Fri 07:00-13:30,Opening days and times/24/7,Opening days and times/Other,What type of operator is this?,What is the name of the operator?,What is the health care specialty of this facility,What is the number of doctors?,What is the number of nurses?,Phone number of health facility,Does the facility have toilets?,Type of facility,Is the facility usable,Is the facility separated boys/girls,Is the facility equiped for menstrual hygiene management,Is facility separated for staff and non staff?,Is  the facility meet needs for limited mobility?,Is there existance of handwashing at the facility?,"If yes, How many","Does the facility has Station with basin, soap and water / OR with alcohol-based hand rub",Is the station within 5 meters of toilets,Is there existance of a water point?,Is the facility improved?,Is water located on school premises?,"WASH package management, O&M and financing",Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-09T13:16:54.502Z,2021-02-09,collect:no6U5V4eMLGVKt3U,,,,Minata M Konaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura ACI,12.5614883 -7.989665 383.8600183105469 2.8,12.5614883,-7.989665,383.860018310547,2.8,Clinique Oumou KHAL TALL,Clinic,,All,Imaging equipment,Mental care,7,3,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Mme Keita Maman Sy,General,8,3,66795787,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,590,c95881de-b7d7-4bcd-bfac-d00a04faa99d,2021-02-09T22:41:47,,73
2021-02-09T14:59:53.196Z,2021-02-09,collect:no6U5V4eMLGVKt3U,,,,Moussa Kodio,Bamako,Commune V,Kalaban - Coura,,Kalaban coura ACI,12.5601516 -7.980815 383.8600183105469 1.94,12.5601516,-7.980815,383.860018310547,1.94,Cabinet médical,Clinic,,All,,Medicine,5,1,,,No,No,24/7,0,0,0,0,0,0,1,0,Private,Diané Diarra,Women,1,2,76447982,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,595,62bb0c32-7ed9-4aa0-be62-16aff401ad8d,2021-02-09T22:41:55,,74
2021-02-09T12:00:28.154Z,2021-02-09,collect:MJ5leTIAnrD6YxEb,,,,Issa Keïta,Bamako,Commune V,Kalaban - Coura,,,12.5648599 -7.9921198 381.1600061035156 3.94,12.5648599,-7.9921198,381.160006103516,3.94,Clinique Keba Dafee,Clinic,Clinic bed,Specialized,Operating theater,Pediatric care,1,18,10,8,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,6,2,72056717,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,601,f7b77758-4c08-4168-bf87-2ccd64fc7e91,2021-02-10T08:31:03,,75
2021-02-09T10:22:57.452Z,2021-02-09,collect:1txgpNFTAAr85wIK,,,,Toumany Diabaté,Bamako,Commune VI,Sénou,,Senou sibiribabougou,12.5272218 -7.9212651 379.1287862545162 7.4,12.5272218,-7.9212651,379.128786254516,7.4,Cabinet se soin D'ar Salam,Clinic,First referral hospital,All,Intensive care unit,Medicine,5,3,1,2,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Major Bourema Traoré,General,1,1,74096896,Yes,Unimproved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,not,Water located near healthcre premises,Existence of Management Committee including WASH issues,No,,Manual Emptier,,609,fa03b3cf-4dbc-4737-bfae-d0cf0ea8995a,2021-02-10T08:51:55,,77
2021-02-09T11:47:01.427Z,2021-02-09,collect:1txgpNFTAAr85wIK,,,,Toumany Diabaté,Bamako,Commune VI,Sénou,,Senou sibiribabougou,12.5371483 -7.915675 386.2127563415122 7.2,12.5371483,-7.915675,386.212756341512,7.2,Cabinet de soins Mah Dounamba,Clinic,Second referral_hospital,Hospice care,Intensive care unit,Medicine,,,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,,,76426785,Yes,Unimproved,Yes,No,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,,Facility with water and soap,not,Water point exists,not,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,612,ae97fca6-bf9e-4875-8e35-7f988d067941,2021-02-10T08:51:57,,78
2021-02-09T11:32:22.065Z,2021-02-09,357828107947080,8.92230171602166E+019,610010371654756,,Awa Diarra,Bamako,Commune VI,Sénou,,Senou sibiribagou,12.531994999999998 -7.913383333333333 388.8 1.2,12.531995,-7.91338333333333,388.8,1.2,Cabinet médical Al-Iklas,Clinic,Clinic bed,Specialized,Imaging equipment,Martenal care,8,5,2,3,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Non,Women,1,4,,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,619,25aca8c2-1d90-43c0-b2c2-617517022986,2021-02-10T08:52:50,,79
2021-02-09T13:18:10.853Z,2021-02-09,collect:EZ7wOdBrRXaKJzjD,,,,TRAORE Fatoumata,Bamako,Commune VI,Sénou,,Diatoula,12.548935 -7.9025017 374.26001220703125 3.3,12.548935,-7.9025017,374.260012207031,3.3,Cabinet Bâ Mariam,Clinic,Clinic bed,General acute care,Intensive care unit,Martenal care,4,2,1,1,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Bâ Mariam,Women,0,1,76232290,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,660,1d7686c5-5a4e-4607-a02d-7e8d839e2f02,2021-02-10T09:36:58,,86
2021-02-10T11:13:38.609Z,2021-02-10,collect:BlCkwukss3l6umtT,,,,Abdoulaye Sissoko,Bamako,Commune II,Hippodrome,,,12.662345 -7.97296 350.48946811244195 3.9,12.662345,-7.97296,350.489468112442,3.9,"Clinique Médicale
LA PITIE",Clinic,Clinic bed,All,Emergency,Medicine,20,15,5,7,Yes,Yes,Mo-Fri 08:00-17:00,0,0,1,0,0,0,0,0,Private,Communauté,Community,3,5,66575704,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,5,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,691,20a80a96-3c9b-449e-9b36-89e6ac4e1813,2021-02-10T11:19:29,,89
2021-02-10T11:12:26.122Z,2021-02-10,collect:yz6GdNItMEBqLYb0,,,,Bilaly Dicko ,Bamako,Commune VI,Missabougou,,Balobougou,12.6278541931806 -7.9210367607823455 341.8437051028013 4.9,12.6278541931806,-7.92103676078235,341.843705102801,4.9,Bâtiment Clinique Médicale la référence ,Clinic,Clinic bed,General acute care,,Martenal care,4,3,1,3,Yes,Yes,Other 24/7,0,0,0,0,0,0,1,1,Private,Dr. Sanogo siaka Amara,Community,2,2,20732091,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,741,69534224-f184-4975-82aa-49b8a59c7d2b,2021-02-10T15:53:56,,97
2021-02-10T12:16:06.455Z,2021-02-10,a183698a4c2d5250,,,,Aissata Maiga ,Bamako,Commune I,Korofina-Sud,,Korofina sud ,12.660854891873896 -7.955898893997073 558.0 20.0,12.6608548918739,-7.95589889399707,558,20,Clinique ,Clinic,Clinic bed,Specialized,,Medicine,0,25,15,10,No,Yes,Mo-Sa 07:30-15:00,0,1,0,0,0,0,0,0,Private,Nanacasse  Boubacar,General,1,1,20245635,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,828,1c7efc72-1ce5-49a5-83c4-be13ef51d8cf,2021-02-10T16:32:32,,112
2021-02-10T13:01:22.493Z,2021-02-10,a183698a4c2d5250,,,,"
Aissata Maiga ",Bamako,Commune I,Korofina Nord,,Korofina nord,12.669816403649747 -7.95706070959568 394.0 8.0,12.6698164036497,-7.95706070959568,394,8,Clinique ,Clinic,Clinic bed,All,Operating theater,Surgery,6,10,4,6,,Yes,24/7,0,0,0,0,0,0,1,0,Private,Nientau  sekou,General,1,2,20800234,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,829,683a1784-bf5b-4252-9e7b-5809d1672598,2021-02-10T16:32:33,,113
