start,end,today,deviceid,phonenumber,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this education facility.,_Please take a GPS point at this education facility._latitude,_Please take a GPS point at this education facility._longitude,_Please take a GPS point at this education facility._altitude,_Please take a GPS point at this education facility._precision,Name of Facility,Amenity,Opening Hours,Opening Hours/Mo-Fri 07:30-13:30,Opening Hours/Mo-Sa 07:30-15:00,Opening Hours/Mo-Fri 08:00-17:00,Opening Hours/Mo-Fri 09:00-17:00,Opening Hours/Mo-Su 07:00-20:00,Opening Hours/Mo-Fri 07:00-13:30,Opening Hours/Other,"You said other, please specify",What is the primary phone contact for the facility?,Name of the organization/institution that runs the facility,Type of the organization/institution that runs the facility,Religion,Number of Students,Does the facility charge fees?,Does the facility have toilets?,Type of facility,Is the facility separated boys/girls,Is the facility usable,Is the facility accessible to Handicap,Is the facility equiped for menstrual hygiene management,Is there practice of open defecation?,Is there existance of handwashing at the facility?,"If yes, How many",Is the facility located in school premises,Does the facility has water and soap?,Does the facility has daily hand cleaning activities for students,Is there existance of a water point?,"If yes, How many",Type of water point,Is water located on school premises?,Does there exist management committee for dealing with management of WASH issues,Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,How often,Fees for cleaning WASH facility,Phone number for the school if available,_id,_uuid,_submission_time,_validation_status,_index
2021-02-10T13:13:00.422Z,2021-02-10T13:17:35.329Z,2021-02-10,collect:SIM9EPAN7xmiLAou,,Thierno Hady Dembélé ,Bamako,Commune VI,Yirimadio,,Yirimadjo ancien village ,12.6195733 -7.90793 338.7 3.9,12.6195733,-7.90793,338.7,3.9,Lycée privé la Kadette,School,Mo-Sa 07:30-15:00 Mo-Fri 09:00-17:00,0,1,0,1,0,0,0,,78603815,Académie rive droite,Private,,412,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],No handwashing,,No facility located on school premises,Facility without water and soap,School do not have daily hand cleaning activities for students,Water point exists,,Improved,Water located on school premises,No,,,Other,,Latrine emptying when needed,79647287,776,e9061226-ea92-4cbc-bb59-22c3f90c9f5a,2021-02-10T16:10:41,,425
2021-02-10T13:36:05.142Z,2021-02-10T13:40:29.489Z,2021-02-10,collect:SIM9EPAN7xmiLAou,,Thierno Hady Dembélé ,Bamako,Commune VI,Yirimadio,,Yirimadjo  ancien village ,12.6163267 -7.9053567 339.0 3.9,12.6163267,-7.9053567,339,3.9,Ecole kadette fondamentale ,School,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,74909413,Académie de la rive droite ,Private,,460,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],No handwashing,,No facility located on school premises,Facility without water and soap,School has daily hand cleaning activities for students,Water point exists,,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,Other,,Latrine emptying when needed,64812066,777,324b514d-2f24-48b9-86af-894998d9cb7d,2021-02-10T16:10:43,,426
2021-02-10T09:48:52.487Z,2021-02-10T09:54:36.789Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,Fatoumata Kayentao ,Bamako,Commune IV,Djikoroni-Para,,Djenèkabougou ,12.616825 -8.0291533 324.8 3.1,12.616825,-8.0291533,324.8,3.1,"Ecole Privé Daba Samaké
",School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,74498941,Privé ,Private,,170,No,Yes,Unimproved,No,Usable,Accessible to Handicap,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,1,Facility located on school premises,Facility without water and soap,School has daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,No,Yes,Once a day,,,Latrine emptying when needed,74498941,785,9ed355c0-a2cb-4d2a-9439-4da8dca64456,2021-02-10T16:18:42,,431
2021-02-10T11:11:44.919Z,2021-02-10T11:33:41.321Z,2021-02-10,collect:37iYIf9mujLgP7FW,,ALOU SOW,Bamako,Commune IV,Djikoroni-Para,,Usineda,12.6179933 -8.0336717 341.9201297272715 3.9,12.6179933,-8.0336717,341.920129727271,3.9,École Franco Arabe,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,66846494,Privé,Private,,170,No,Yes,Improved,Yes,Usable,Accessible to Handicap,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,1,Facility located on school premises,Facility with water and soap,School do not have daily hand cleaning activities for students,Water point exists,1,Unimproved,Water located on school premises,No,Yes,Once a day,Manual Emptier,1,Latrine emptying when needed,66846494,806,cbaafa79-eb68-4233-a978-c91cb2ab8af7,2021-02-10T16:31:26,,439
2021-02-10T09:03:26.988Z,2021-02-10T16:01:54.850Z,2021-02-10,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba,Bamako,Commune V,Sabalibougou,,,12.5954595 -8.0032318 384.35599692876724 5.583,12.5954595,-8.0032318,384.355996928767,5.583,Complexe fondamentale DABOLA,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,74522335,Académie,Private,,517,Yes,Yes,Improved,Yes,Usable,Not Accessible,,,No handwashing,,No facility located on school premises,Facility with water and soap,,Water point exists,1,Improved,Water located on school premises,,Yes,Once a day,,,,,885,2f400f41-7a7a-4bf6-b895-9f52c25c9235,2021-02-10T17:02:05,,474
2021-02-10T14:55:28.471Z,2021-02-10T14:59:21.998Z,2021-02-10,358005081305960,,Fatoumata CISSE,Bamako,Commune V,Sabalibougou,,,12.593798333333332 -8.004103333333335 348.1 7.4,12.5937983333333,-8.00410333333334,348.1,7.4,Ecole Privee Fotan,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,76370929,Ecole privee Fotan,Private,,200,Yes,Yes,Unimproved,Yes,Usable,Not Accessible,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,No existence of water point,,,,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,Other,,Latrine emptying when needed,,1102,b94b7935-f319-4a3a-a0c7-ed66a1108d08,2021-02-10T19:20:27,,586
2021-02-10T11:13:45.127Z,2021-02-10T11:21:36.242Z,2021-02-10,collect:HT5m96BSOrMwBzMD,,Seydou KONE,Bamako,Commune VI,Yirimadio,,Yirimadio nord,12.618645 -7.91334 339.8463109476519 3.15,12.618645,-7.91334,339.846310947652,3.15,COPCC,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,66979261,Direction national dans la formation professionelle et de l'emploi.,Private,,168,No,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,6,Facility located on school premises,Facility with water and soap,School do not have daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,No,Yes,Once a day,Other,,Latrine emptying when needed,66979261,1105,97c1ad11-76e1-491e-8a15-8280b9e2e1fd,2021-02-10T19:32:13,,588
2021-02-10T10:28:36.417Z,2021-02-10T10:38:37.214Z,2021-02-10,357828107947080,,Awa Diarra,Bamako,Commune VI,Yirimadio,,,12.60548 -7.9152499999999995 327.9 1.1,12.60548,-7.91525,327.9,1.1,Complexe scolaire Falaba Issa Traoré,College,Mo-Sa 07:30-15:00 Mo-Fri 08:00-17:00 Mo-Fri 09:00-17:00,0,1,1,1,0,0,0,,20772789,Académie de La Rive Droite,Private,,379,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,Existing student hygiene club in school,Yes,Once a day,Other,,Latrine emptying when needed,64542424,1151,13479e5c-2046-4d09-98ea-64e2b91de372,2021-02-10T20:07:56,,624
2021-02-10T13:51:18.740Z,2021-02-10T14:16:22.569Z,2021-02-10,collect:EZ7wOdBrRXaKJzjD,,TRAORE ,Bamako,Commune VI,Yirimadio,,Yirimadio zerny ,12.5946 -7.9272067 367.06 4.12,12.5946,-7.9272067,367.06,4.12,Sumpu,School,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,6653141,Cap,Private,,315,Yes,Yes,Improved,No,Usable,Not Accessible,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,1,Facility located on school premises,Facility with water and soap,School do not have daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,No,Yes,Once a day,Other,1,Latrine emptying when needed,66531411,1188,b7a9ce29-0d17-46b4-b9fd-12fd31451a74,2021-02-10T22:42:59,,644
2021-02-15T09:53:40.559Z,2021-02-15T09:59:36.511Z,2021-02-15,collect:1txgpNFTAAr85wIK,,Toumany Diabaté,Bamako,Commune VI,Banankabougou,,,12.5997904 -7.9433472 352.09143906629504 7.6,12.5997904,-7.9433472,352.091439066295,7.6,École privée Siaman Bagayoko,School,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,70005388,Cap de banankabougou,Private,,130,Yes,Yes,Unimproved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,2,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,,,Dedicated fees for WASH regular maintenance,79336125,1470,dc58f43b-8e96-4130-8f03-9e916160f6a0,2021-02-15T16:28:23,,741
2021-02-15T10:41:42.308Z,2021-02-15T10:54:21.597Z,2021-02-15,collect:1txgpNFTAAr85wIK,,Toumany Diabaté,Bamako,Commune VI,Banankabougou,,,12.5977133 -7.9448933 356.13950159991754 7.3,12.5977133,-7.9448933,356.139501599918,7.3,Medersa franco Arabe Al Hanafia,College,Mo-Fri 08:00-17:00 Mo-Fri 09:00-17:00 Mo-Sa 07:30-15:00,0,1,1,1,0,0,0,,66624023,Academie de la rive droite et cap de banankabougou,Private,,650,Yes,Yes,Unimproved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School do not have daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,,,Dedicated fees for WASH regular maintenance,79491380,1472,46848fa2-20b3-46b1-b912-2e687a4a9272,2021-02-15T16:28:25,,743
2021-02-15T14:30:14.296Z,2021-02-15T14:37:42.732Z,2021-02-15,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Garantiguibougou,,,12.5646057 -8.0012478 373.2687981875872 3.9,12.5646057,-8.0012478,373.268798187587,3.9,Complexe scolaire Mamadou Coulibaly ,School,Mo-Fri 08:00-17:00 Mo-Fri 09:00-17:00,0,0,1,1,0,0,0,,66722111,CAP,Private,,108,Yes,Yes,Improved,No,Usable,,,,Existence of handwashing post/station(s):,1,Facility located on school premises,Facility with water and soap,,Water point exists,1,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,Manual Emptier,,Latrine emptying when needed,66443118,1599,9ccd69d0-b750-4b0f-aec7-26601b1b27f7,2021-02-15T16:47:32,,795
2021-02-15T09:17:26.211Z,2021-02-15T09:46:03.329Z,2021-02-15,collect:EZ7wOdBrRXaKJzjD,,TRAORE Fatoumata ,Bamako,Commune VI,Yirimadio,,Yirimadio zerny ,12.6051 -7.9266917 343.76292073491203 4.783,12.6051,-7.9266917,343.762920734912,4.783,Université Bazo,University,Mo-Fri 09:00-17:00 Mo-Sa 07:30-15:00 Other,0,1,0,1,0,0,1,,0,Institut Supérieur ,Private,,118,Yes,Yes,Improved,Yes,Usable,Accessible to Handicap,Facility is equipped for menstrual hygiene management,Practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,No existence of water point,,,,No,Yes,Once a day,Other,1,Latrine emptying when needed,0,1809,73aebe66-49a2-45ea-89c3-b2361212671d,2021-02-15T18:48:45,,860
2021-02-15T11:15:03.807Z,2021-02-15T11:26:07.514Z,2021-02-15,collect:EZ7wOdBrRXaKJzjD,,TRAORE Fatoumata,Bamako,Commune VI,Yirimadio,,Yirimadio yorodiambougou,12.5842383 -7.9236117 380.9444728580971 4.74,12.5842383,-7.9236117,380.944472858097,4.74,Ecole privé adonai,School,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,77588798,Cap,Private,,322,Yes,Yes,Improved,Yes,Usable,Accessible to Handicap,,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,No,Yes,Once a day,Other,,Latrine emptying when needed,77588798,1817,6f0294fc-bbf4-43cd-809b-e3601398d6f8,2021-02-15T18:48:51,,863
2021-02-15T16:01:55.512Z,2021-02-15T16:06:20.897Z,2021-02-15,collect:EZ7wOdBrRXaKJzjD,,TRAORE Fatoumata ,Bamako,Commune VI,Yirimadio,,Yirimadio zerny ,12.5982383 -7.9358017 387.19057630241065 6.15,12.5982383,-7.9358017,387.190576302411,6.15,Lycée privé Yaya Coulibaly ,School,Mo-Fri 09:00-17:00 Mo-Fri 08:00-17:00 Mo-Sa 07:30-15:00,0,1,1,1,0,0,0,,78452223,Académie ,Private,,215,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,1,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,No,No,,Other,1,Latrine emptying when needed,78452223,1836,708ae0ed-1794-4cf7-907b-824e3f2a5eef,2021-02-15T18:49:03,,874
2021-02-15T12:30:50.143Z,2021-02-15T12:36:48.723Z,2021-02-15,358005081305960,,Fatoumata CISSE,Bamako,Commune V,Garantiguibougou,,Complexe Scolaire Ba Anna Samake,12.571016666666667 -8.002786666666667 359.3 7.4,12.5710166666667,-8.00278666666667,359.3,7.4,Complexe Scolaire BA Anna Samake,Kindergarten,Mo-Fri 09:00-17:00,0,0,0,1,0,0,0,,,Ba Anna Samake,Private,,45,Yes,Yes,Improved,No,,Not Accessible,Facility is equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,4,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,2,Improved,Water available when needed during school hours [in the last two weeks],,Yes,Once a day,,,Latrine emptying when needed,,2077,ace389a7-1c93-40b3-9125-7c8033cb6a1d,2021-02-15T21:33:25,,944
2021-02-15T13:27:50.381Z,2021-02-15T13:32:11.392Z,2021-02-15,collect:SIM9EPAN7xmiLAou,,Thierno Hady Dembélé ,Bamako,Commune VI,Banankabougou,,,12.5943358 -7.9533725 360.754686598542 3.937,12.5943358,-7.9533725,360.754686598542,3.937,École la planète ,School,Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00,1,0,0,1,0,0,0,,82822219,Établissement privé du Cap de faladiè,Private,,230,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,,Water point exists,3,Improved,Water located on school premises,No,Yes,Once a day,,,Latrine emptying when needed,82822219,2136,58044c1d-b706-40d8-ad74-677afe35bb7a,2021-02-16T07:21:41,,959
2021-02-16T13:48:24.480Z,2021-02-16T14:08:24.594Z,2021-02-16,collect:MISsMtgfFQthUhqA,,Ramatou Sogoba ,Bamako,Commune V,Daoudabougou,,,12.6096099 -7.9853999 378.4599938964844 3.9,12.6096099,-7.9853999,378.459993896484,3.9,École Franco-Arabe Halimatou Saadiya,School,Mo-Sa 07:30-15:00 Mo-Fri 08:00-17:00 Mo-Fri 09:00-17:00,0,1,1,1,0,0,0,,76790706,Promoteur ,Private,,67,Yes,Yes,Unimproved,Yes,Usable,,,,Existence of handwashing post/station(s):,,,Facility with water and soap,,,,,,,,,,,,,2891,118a3a85-5a50-4565-89f4-c6264cabd57f,2021-02-16T18:17:26,,1073
2021-02-16T10:44:33.223Z,2021-02-16T10:48:43.819Z,2021-02-16,collect:1txgpNFTAAr85wIK,,Toumany Diabaté,Bamako,Commune VI,Sogoniko,,Zone commercial,12.6082517 -7.965945 340.72617438224006 7.266,12.6082517,-7.965945,340.72617438224,7.266,École Privée Daoula,School,Mo-Fri 07:30-13:30 Mo-Fri 08:00-17:00 Mo-Fri 09:00-17:00,1,0,1,1,0,0,0,,76761139,CAP de sogoniko,Private,,180,Yes,Yes,Improved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,2,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,,,Latrine emptying when needed,,3177,500d7049-8682-4304-bb8a-eccf303017a8,2021-02-16T21:35:26,,1148
2021-02-16T10:48:53.745Z,2021-02-16T10:52:17.447Z,2021-02-16,collect:1txgpNFTAAr85wIK,,Awa Diarra,Bamako,Commune VI,Sogoniko,,,12.6058721 -7.9659188 340.11023063564954 7.5,12.6058721,-7.9659188,340.11023063565,7.5,Groupe Scolaire de Sogoniko I,School,Mo-Sa 07:30-15:00 Mo-Fri 07:30-13:30 Mo-Fri 09:00-17:00 Mo-Fri 07:00-13:30,1,1,0,1,0,1,0,,20203230,CAP de Sogoniko ,Government,,600,Yes,Yes,Unimproved,Yes,Usable,Not Accessible,Facility is not equipped for menstrual hygiene management,No practice of open defecation [latrine present but not used],Existence of handwashing post/station(s):,3,Facility located on school premises,Facility with water and soap,School has daily hand cleaning activities for students,Water point exists,1,Improved,Water located on school premises,Existence of Management Committee dealing with management of WASH issues,Yes,Once a day,Other,,Dedicated fees for WASH regular maintenance,,3178,a4be46e2-3d13-449f-b5c0-5824dd0f97cd,2021-02-16T21:35:26,,1149
