start,end,today,deviceid,phonenumber,This is a form used to map Telecommunication Facilities. Please fill this form while at the Telecommunication Facility location.,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this Telecommunication Facility.,_Please take a GPS point at this Telecommunication Facility._latitude,_Please take a GPS point at this Telecommunication Facility._longitude,_Please take a GPS point at this Telecommunication Facility._altitude,_Please take a GPS point at this Telecommunication Facility._precision,Man Made,Telecom,Communication,Who is operator of the facility,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-09T11:24:38.814Z,2021-02-09T11:25:16.304Z,2021-02-09,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Same,,Orange ,12.66808 -8.0419983 386.851311166085 3.9,12.66808,-8.0419983,386.851311166085,3.9,Antenna,Exchange,Mobile Phone,Orange ,,365,74725323-d1b0-48f6-945c-6339b1e1f2db,2021-02-09T16:42:54,,11
2021-02-09T14:33:35.437Z,2021-02-09T14:50:18.803Z,2021-02-09,358005081307784,,,Ali balata kone,Bamako,Commune III,N'Tomikorobougou,,CCR,12.657354999999999 -8.02698 357.6 2.1,12.657354999999999,-8.02698,357.6,2.1,Antenna,Distribution Point,Mobile Phone,Orange,,381,77635891-fe85-4ecb-8cd0-96845f093734,2021-02-09T16:51:43,,12
2021-02-09T14:52:40.301Z,2021-02-09T14:54:54.314Z,2021-02-09,358005081307784,,,Ali balata kone,Bamako,Commune III,N'Tomikorobougou,,VCR,12.657060000000001 -8.026531666666667 365.7 1.4,12.657060000000001,-8.026531666666667,365.7,1.4,Antenna,Distribution Point,Mobile Phone,Malitel,,382,40ba9eab-3ed1-4376-a25b-ffd9dbd9c8bc,2021-02-09T16:51:43,,13
2021-02-09T14:56:16.002Z,2021-02-09T14:57:57.908Z,2021-02-09,358005081307784,,,Ali balata kone,Bamako,Commune III,N'Tomikorobougou,,CCR,12.657676666666669 -8.026366666666666 348.4 1.6,12.657676666666669,-8.026366666666666,348.4,1.6,Communication Tower,Data Center,GSM,GMS,,383,e2edbc41-5700-415a-b587-e39879eba4f0,2021-02-09T16:51:44,,14
2021-02-09T12:25:02.419Z,2021-02-09T12:26:49.954Z,2021-02-09,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Same,,Samè,12.6669717 -8.04042 355.4599938964844 3.9,12.6669717,-8.04042,355.4599938964844,3.9,Antenna,Distribution Point,Mobile Phone,Telecel ,,403,4f634f34-88a4-4062-9715-4297e534ef57,2021-02-09T16:52:42,,15
2021-02-09T14:36:42.468Z,2021-02-09T14:41:47.864Z,2021-02-09,3b5bbe021a1812db,,,Mme Aminata Diawara,Bamako,Commune IV,Lafiabougou,,Lafiabougou ,12.638161391951144 -8.041980117559433 378.0 13.0,12.638161391951144,-8.041980117559433,378.0,13.0,Telescope,Distribution Point,Mobile Phone,Royal business,,411,537a2bd2-e055-478b-bad0-d483afaa3cc6,2021-02-09T17:06:16,,16
2021-02-09T14:40:57.828Z,2021-02-09T14:44:02.142Z,2021-02-09,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Lassa,12.6544661 -8.0446304 471.0 6.6,12.6544661,-8.0446304,471.0,6.6,Antenna,Distribution Point,Mobile Phone,Malitel ,,495,0afb3788-e2f2-45b1-82a1-fb501ea2ca93,2021-02-09T17:49:17,,17
2021-02-09T14:32:54.466Z,2021-02-09T18:45:51.527Z,2021-02-09,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Badialan III,,Secteur CCR ,12.6575307 -8.0268799 356.8172496978147 3.16,12.6575307,-8.0268799,356.8172496978147,3.16,Antenna,Distribution Point,Mobile Phone,Orange,,530,200239d3-bd1c-4341-8848-7a607e4cddc2,2021-02-09T18:48:59,,18
2021-02-09T14:53:25.117Z,2021-02-09T18:46:37.830Z,2021-02-09,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,N'Tomikorobougou,,CCR,12.6570567 -8.026505 373.1908285562466 1.94,12.6570567,-8.026505,373.1908285562466,1.94,Antenna,Distribution Point,Mobile Phone,Malitel,,531,1fc139f9-6c88-43b2-a368-3ca0cd893642,2021-02-09T18:49:01,,19
2021-02-09T14:56:11.006Z,2021-02-09T18:47:24.057Z,2021-02-09,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,N'Tomikorobougou,,CCR,12.6576958 -8.0263243 370.1163316320427 3.183,12.6576958,-8.0263243,370.1163316320427,3.183,Communication Tower,Data Center,GSM,GMS,,532,389360cd-5578-4afa-aa6a-3e8bd5b588d3,2021-02-09T18:49:03,,20
2021-02-09T12:22:57.296Z,2021-02-09T12:25:45.992Z,2021-02-09,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Same,,,12.667225 -8.0413833 425.3600183105469 4.4,12.667225,-8.0413833,425.3600183105469,4.4,Communication Tower,Exchange,Mobile Phone,Malitel,,542,f741f58e-45b0-481a-9e77-0ea96cf497f6,2021-02-09T18:54:28,,21
2021-02-09T14:59:56.641Z,2021-02-09T15:01:15.208Z,2021-02-09,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Same,,,12.6644899 -8.0375767 425.3600183105469 2.266,12.6644899,-8.0375767,425.3600183105469,2.266,Communication Tower,Exchange,Mobile Phone,Orange,,544,79144ac8-5ba7-4008-a9f9-e45f4e3c44f7,2021-02-09T18:54:29,,22
2021-02-10T07:52:38.813Z,2021-02-10T07:54:45.519Z,2021-02-10,358005081307784,,,Ali badara kone,Bamako,Commune III,Ouolofobougou Bolibana,,Section1,12.650323333333331 -8.011996666666667 360.0 4.9,12.650323333333331,-8.011996666666667,360.0,4.9,Antenna,Connection Point,GSM,Datatech,,688,09e2639c-9c55-4045-a4c0-3ab5fa85510e,2021-02-10T11:15:35,,23
2021-02-10T07:59:46.037Z,2021-02-10T08:03:04.023Z,2021-02-10,358005081307784,,,Ali badara kone,Bamako,Commune III,N'Tomikorobougou,,Secteur  kolo traore,12.652536666666666 -8.01346 333.5 1.9,12.652536666666666,-8.01346,333.5,1.9,Communication Tower,Distribution Point,Mobile Phone,Malitel,,689,fcdb5b4c-33dd-452f-be06-ff1df32ad49f,2021-02-10T11:15:36,,24
2021-02-10T08:21:57.823Z,2021-02-10T08:25:36.160Z,2021-02-10,358005081307784,,,Ali badara kone,Bamako,Commune III,Sokonafing,,Minko,12.66849 -8.013786666666666 416.8 2.8,12.66849,-8.013786666666666,416.8,2.8,Antenna,Connection Point,Mobile Phone,Malitel ,,690,a50570e3-3423-490a-b3fd-c16d2f999ce3,2021-02-10T11:15:37,,25
2021-02-10T07:52:40.156Z,2021-02-10T11:25:04.106Z,2021-02-10,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 1,12.6502252 -8.0121397 348.07484164869686 7.15,12.6502252,-8.0121397,348.07484164869686,7.15,Antenna,Connection Point,GSM,Datatech ,,701,a7986a22-c980-43de-b603-aae8072e24d0,2021-02-10T12:00:02,,26
2021-02-10T07:59:46.320Z,2021-02-10T11:26:20.794Z,2021-02-10,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,N'Tomikorobougou,,Secteur kolo Traoré ,12.65258 -8.0135999 346.0063998002464 5.7,12.65258,-8.0135999,346.0063998002464,5.7,Communication Tower,Distribution Point,Mobile Phone,Malitel,,702,bf57aadf-b653-4415-a5ab-29acab445f13,2021-02-10T12:00:03,,27
2021-02-10T08:24:30.760Z,2021-02-10T11:27:46.833Z,2021-02-10,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Sokonafing,,Minko,12.668479 -8.0138992 434.76166900225945 4.82,12.668479,-8.0138992,434.76166900225945,4.82,Antenna,Connection Point,Mobile Phone,Malitel ,,703,2d719751-8d60-4564-9169-413625ef88e5,2021-02-10T12:00:04,,28
2021-02-10T12:33:32.382Z,2021-02-10T12:36:16.382Z,2021-02-10,358005081402445,,,Oumar haidara,Bamako,Commune II,Hippodrome,,Orange mali,12.656118333333332 -7.972675 341.7 7.4,12.656118333333332,-7.972675,341.7,7.4,Communication Tower,Service Device,Mobile Phone,Orange mali,,720,276a9e06-9bd8-4706-91be-e10fe5e01f10,2021-02-10T13:06:46,,29
2021-02-10T15:32:24.842Z,2021-02-10T15:33:43.641Z,2021-02-10,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Darsalam,,Cité ,12.6520817 -8.0024817 371.4599938964844 5.0,12.6520817,-8.0024817,371.4599938964844,5.0,Antenna,Distribution Point,Mobile Phone,Malitel ,,767,b74cfd51-be9d-4507-8013-f16329ddeb87,2021-02-10T15:54:15,,30
2021-02-10T15:37:41.898Z,2021-02-10T15:38:55.866Z,2021-02-10,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Darsalam,,Cité ,12.6515333 -8.0002494 372.4188279391756 3.9,12.6515333,-8.0002494,372.4188279391756,3.9,Antenna,Connection Point,Mobile Phone,Orange ,,768,8871b654-0816-49ab-966c-a69da40093bb,2021-02-10T15:54:16,,31
2021-02-10T10:27:17.458Z,2021-02-10T10:29:52.354Z,2021-02-10,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Sirakoro-Dounfing,,,12.6857883 -8.0552267 484.93999126605775 3.9,12.6857883,-8.0552267,484.93999126605775,3.9,Antenna,Exchange,Mobile Phone,Orange ,,838,2f5971d1-f219-4925-bce5-72722bc07c13,2021-02-10T16:39:16,,32
2021-02-10T12:03:19.063Z,2021-02-10T12:04:04.225Z,2021-02-10,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Lafiabougou bougoudani ,12.6348765 -8.0477915 384.0 3.316,12.6348765,-8.0477915,384.0,3.316,Antenna,Distribution Point,Mobile Phone,Orange Mali,,852,7687b6a6-61ca-423d-82ad-6aef29fd6dc6,2021-02-10T16:43:20,,33
2021-02-10T10:58:03.456Z,2021-02-10T11:00:07.691Z,2021-02-10,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Kalabambougou,,Kalabambougou,12.5750916 -8.0681511 375.340309073622 3.9,12.5750916,-8.0681511,375.340309073622,3.9,Antenna,Data Center,Mobile Phone,Malitel,,863,3967b9bb-40b1-4873-9b9a-997afecd44ff,2021-02-10T16:52:29,,34
2021-02-10T14:54:11.356Z,2021-02-10T14:55:48.802Z,2021-02-10,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Kalabambougou,,Kalabambougou ,12.5812819 -8.0579699 366.22990721735704 5.0,12.5812819,-8.0579699,366.22990721735704,5.0,Antenna,Distribution Point,Mobile Phone,Orange Mali,,866,9d2ed65e-6d6d-4293-8ebd-66c74c38ef94,2021-02-10T16:52:30,,35
2021-02-10T15:49:17.818Z,2021-02-10T15:50:15.996Z,2021-02-10,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Kalabambougou,,Kalabambougou ,12.5746352 -8.0576735 366.3734626389672 4.583,12.5746352,-8.0576735,366.3734626389672,4.583,Antenna,Distribution Point,Mobile Phone,Malitel,,868,8db0a596-c652-45b3-a4f9-34dc773fac13,2021-02-10T16:52:31,,36
2021-02-10T16:30:35.893Z,2021-02-10T16:31:12.872Z,2021-02-10,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Kalabambougou,,Kalabambougou ,12.5665562 -8.0547724 365.1396453928272 5.3,12.5665562,-8.0547724,365.1396453928272,5.3,Antenna,Distribution Point,Mobile Phone,Malitel ,,870,4209d854-a84b-40cd-ab76-36419e9e968b,2021-02-10T16:52:32,,37
2021-02-10T09:33:42.986Z,2021-02-10T09:35:27.605Z,2021-02-10,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Kalabambougou,,Kalabambougou waireda,12.5752083 -8.0680433 355.51041411536784 3.9,12.5752083,-8.0680433,355.51041411536784,3.9,Antenna,Distribution Point,Mobile Phone,Malitel,,873,95ab3652-678e-4778-922f-1ead24c1d882,2021-02-10T16:55:03,,38
2021-02-10T09:43:31.186Z,2021-02-10T09:45:12.437Z,2021-02-10,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Kalabambougou,,Kalabambougou waireda,12.57809 -8.0647183 347.23650845878643 2.4,12.57809,-8.0647183,347.23650845878643,2.4,Antenna,Distribution Point,Mobile Phone,Orange Mali,,874,13612fb7-55cb-4a15-92a0-018904165b2a,2021-02-10T16:55:04,,39
2021-02-10T15:46:52.793Z,2021-02-10T15:47:37.087Z,2021-02-10,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Kalabambougou,,,12.5759467 -8.054975 338.19099720578333 3.9,12.5759467,-8.054975,338.19099720578333,3.9,Antenna,Distribution Point,Mobile Phone,Orange Mali,,880,f0c7d486-0a33-4900-95c1-df318de68d63,2021-02-10T16:55:13,,40
2021-02-10T15:53:09.638Z,2021-02-10T15:53:51.405Z,2021-02-10,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Kalabambougou,,,12.5709967 -8.0540717 341.02461015629075 3.9,12.5709967,-8.0540717,341.02461015629075,3.9,Antenna,Distribution Point,Mobile Phone,Orange Mali,,881,da624931-7873-40bc-b4c8-8253afcc8689,2021-02-10T16:55:14,,41
2021-02-10T11:57:21.301Z,2021-02-10T15:57:50.501Z,2021-02-10,collect:MISsMtgfFQthUhqA,,,Ramatou Sogoba,Bamako,Commune V,Sabalibougou,,,12.589987 -7.9953423 434.8301230683818 3.9,12.589987,-7.9953423,434.8301230683818,3.9,Antenna,Service Device,GSM,Orange Mali,,890,f54d2339-1214-47dd-81f6-b76dfa10c984,2021-02-10T17:02:08,,42
2021-02-10T12:39:21.913Z,2021-02-10T16:04:05.338Z,2021-02-10,collect:MISsMtgfFQthUhqA,,,Issa keïta,Bamako,Commune V,Sabalibougou,,Malitel,12.5905741 -7.9948691 430.30867346275227 3.9,12.5905741,-7.9948691,430.30867346275227,3.9,Antenna,Distribution Point,Mobile Phone,,,892,77cd0e91-9447-42e1-91d6-83bfa06f9378,2021-02-10T17:02:09,,43
2021-02-10T13:26:43.104Z,2021-02-10T13:33:42.442Z,2021-02-10,collect:x903NynjzFpMYnqE,,,Adama Djibo,Bamako,Commune I,Korofina Nord,,,12.66625 -7.953135 367.6600061035156 2.15,12.66625,-7.953135,367.6600061035156,2.15,Antenna,Distribution Point,Radio,GEIE radio djekafo,,962,b5cd4259-02c8-4997-add9-5363239962aa,2021-02-10T17:41:51,,44
2021-02-10T15:37:51.825Z,2021-02-10T15:41:02.508Z,2021-02-10,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Darsalam,,Cité,12.6515428 -8.0005942 445.3600183105469 4.48,12.6515428,-8.0005942,445.3600183105469,4.48,Antenna,Connection Point,Mobile Phone,Orange WiFi,,1043,ef1107e7-d3fb-4d4e-8f99-fb1247278753,2021-02-10T18:28:25,,45
2021-02-10T15:50:03.677Z,2021-02-10T15:54:21.732Z,2021-02-10,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Darsalam,,Cité,12.652452 -8.0014889 445.3600183105469 2.55,12.652452,-8.0014889,445.3600183105469,2.55,Antenna,Connection Point,Mobile Phone,Orange,,1044,48a9c355-7daf-44fa-9689-257eafe03200,2021-02-10T18:28:26,,46
2021-02-10T11:56:43.238Z,2021-02-11T11:27:00.710Z,2021-02-10,collect:MJ5leTIAnrD6YxEb,,,Issa Keïta,Bamako,Commune V,Sabalibougou,,,12.5897975 -7.9953923 376.82753155557367 6.166,12.5897975,-7.9953923,376.82753155557367,6.166,Antenna,Distribution Point,Mobile Phone,Orange Mali,,1198,a1def49a-68e8-48c2-9e4a-60ed0878d7eb,2021-02-11T11:28:08,,47
2021-02-08T12:07:06.521Z,2021-02-08T12:10:54.756Z,2021-02-08,collect:lZR1popJYsyYC4Jc,,,Souleymane N'diaye,Bamako,Commune III,Dravéla,,Dravela,12.6450688 -8.0089092 330.7 3.74,12.6450688,-8.0089092,330.7,3.74,Antenna,Exchange,Mobile Phone,Malitel,,1204,21c974b3-0b80-4d1c-b2e6-6bb37ec04ca7,2021-02-15T09:58:51,,48
2021-02-15T10:31:14.856Z,2021-02-15T10:32:04.062Z,2021-02-15,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Quartiers Fleuve,,,12.6352883 -8.0008217 340.6918930607958 3.9,12.6352883,-8.0008217,340.6918930607958,3.9,Antenna,Exchange,Mobile Phone,Orange ,,1253,63df5e34-d4a5-4f41-851a-9b8540bea792,2021-02-15T12:50:36,,49
2021-02-15T11:05:49.618Z,2021-02-15T11:08:34.262Z,2021-02-15,collect:rpvpthByLQPVYLdY,,,Kassim ,Bamako,Commune III,Quartiers Fleuve,,,12.634565 -7.9990534 330.9776349355543 3.9,12.634565,-7.9990534,330.9776349355543,3.9,Communication Tower,Distribution Point,Television,MALIVISION,,1255,defa6e65-a119-4d65-8872-550860b25951,2021-02-15T12:50:38,,50
2021-02-15T10:15:19.502Z,2021-02-15T10:18:28.328Z,2021-02-15,collect:lZR1popJYsyYC4Jc,,,Souleymane N'diaye,Bamako,Commune III,Dravéla Bolibana,,Dravela boliban,12.6413617 -8.01024 364.4599938964844 3.32,12.6413617,-8.01024,364.4599938964844,3.32,Antenna,Data Center,Mobile Phone,Orange,,1258,9153fcdc-322e-4e12-9115-e98b4a161442,2021-02-15T12:50:43,,51
2021-02-15T11:48:32.612Z,2021-02-15T11:51:14.408Z,2021-02-15,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Centre Commercial,,,12.6432749 -8.0020016 347.0395838625769 3.9,12.6432749,-8.0020016,347.0395838625769,3.9,Antenna,Exchange,Mobile Phone,Telecel,,1261,0937cfbd-71a5-479a-8a05-f675e15d9221,2021-02-15T12:50:45,,52
2021-02-15T11:43:06.938Z,2021-02-15T11:44:03.718Z,2021-02-15,collect:lZR1popJYsyYC4Jc,,,Souleymane N'diaye,Bamako,Commune III,Centre Commercial,,,12.6430117 -8.0015433 363.7468875095546 3.56,12.6430117,-8.0015433,363.7468875095546,3.56,Antenna,Exchange,Mobile Phone,Sotelma,,1267,ffe9c738-2314-4990-9325-9131a4c0854c,2021-02-15T12:50:53,,53
2021-02-08T12:33:33.758Z,2021-02-08T12:49:13.787Z,2021-02-08,358005081423789,,,Baoumou  Konaté ,Bamako,Commune I,Banconi,Banconi Layebougou,Layibougou,12.67439 -7.965256666666666 333.8 7.7,12.67439,-7.965256666666666,333.8,7.7,Antenna,Connection Point,Mobile Phone,Malitel,,1281,8ee03cd0-7383-4dcd-9972-4b75bff83c1f,2021-02-15T15:01:21,,54
2021-02-15T15:01:10.987Z,2021-02-15T15:02:33.016Z,2021-02-15,358005081307784,,,Ali badara koné ,Bamako,Commune III,Koulouba,,Sekoubougouni,12.682643333333333 -8.005608333333333 521.2 1.1,12.682643333333333,-8.005608333333333,521.2,1.1,Communication Tower,Distribution Point,Television,TNT SAT,,1353,95c77811-e552-4792-aed6-3c9ce32ddd67,2021-02-15T15:37:52,,55
2021-02-15T09:12:12.128Z,2021-02-15T09:27:00.833Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,,12.6265383 -8.034715 355.56 1.28,12.6265383,-8.034715,355.56,1.28,Antenna,Distribution Point,Mobile Phone,Orange Mail,,1500,09b508a2-5268-4a97-95ac-7e147b5f99dc,2021-02-15T16:38:03,,56
2021-02-15T10:18:33.616Z,2021-02-15T10:19:00.824Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,,12.61737 -8.0476567 355.56 1.18,12.61737,-8.0476567,355.56,1.18,Antenna,Distribution Point,Mobile Phone,Malitel,,1503,d58cc9ae-2215-468c-8681-d79f7e4b2749,2021-02-15T16:38:05,,57
2021-02-15T11:49:07.138Z,2021-02-15T11:49:42.034Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Dramanebougou,12.612715 -8.0524533 355.56 2.24,12.612715,-8.0524533,355.56,2.24,Antenna,Distribution Point,Mobile Phone,Orange Mali,,1506,397e9390-efff-4e51-acf7-2393477956ac,2021-02-15T16:38:07,,58
2021-02-15T12:02:15.768Z,2021-02-15T12:02:52.334Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Dramanebougou,12.6074617 -8.0514983 355.56 1.4,12.6074617,-8.0514983,355.56,1.4,Antenna,Distribution Point,Mobile Phone,Orange Mali,,1507,5bcdb7f3-1238-4fce-bb92-a15a4a2aabc1,2021-02-15T16:38:08,,59
2021-02-15T12:09:09.496Z,2021-02-15T12:09:41.543Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Dramanebougou,12.6030283 -8.0511567 355.56 1.5,12.6030283,-8.0511567,355.56,1.5,Antenna,Distribution Point,Mobile Phone,Orange Mali,,1508,a1ca4729-6dd8-418e-a03e-1016cd999a82,2021-02-15T16:38:08,,60
2021-02-15T12:16:14.639Z,2021-02-15T12:16:48.040Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Dramanebougou,12.6002983 -8.0555683 355.56 1.6,12.6002983,-8.0555683,355.56,1.6,Antenna,Distribution Point,Mobile Phone,Telecel,,1509,d3280942-8785-4d16-8e3d-18441d718eda,2021-02-15T16:38:09,,61
2021-02-15T13:50:07.790Z,2021-02-15T13:50:47.749Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Sebenikoro bailaikoun,12.5900383 -8.0655883 355.56 2.4,12.5900383,-8.0655883,355.56,2.4,Antenna,Distribution Point,Mobile Phone,Malitel,,1516,bb8d73b3-6261-44d4-8bd2-ed490abde684,2021-02-15T16:38:15,,62
2021-02-15T16:17:12.454Z,2021-02-15T16:18:01.361Z,2021-02-15,collect:AdfiW4ZdTTGYwc43,,,Anna Diarra,Bamako,Commune IV,Sébéninkoro,,Kayirabougou,12.5847283 -8.0648567 355.56 1.9,12.5847283,-8.0648567,355.56,1.9,Antenna,Distribution Point,Mobile Phone,Orange Mali,,1517,8ce89939-6dbe-4b36-bed9-003dbd044784,2021-02-15T16:38:16,,63
